,orginalPDB,daliPDB
0,6b3r_A.pdb,aaaa
1,6kg7_A.pdb,aaab
2,6lqi_A.pdb,aaac
3,AF-A0A061ACU2-F1-model_v4.pdb,aaad
4,AF-B9EJG8-F1-model_v4.pdb,aaae
5,AF-F4IN58-F1-model_v4.pdb,aaaf
6,AF-H2J7Z5-F1-model_v6.pdb,aaag
7,AF-H2J8A7-F1-model_v4.pdb,aaah
8,AF-M9MSG8-F1-model_v6.pdb,aaai
9,AF-O14672-F1-model_v4.pdb,aaaj
10,AF-Q4DXU9-F1-model_v4.pdb,aaak
11,AF-Q8TAF8-F1-model_v4.pdb,aaal
12,AF-Q92508-F1-model_v4.pdb,aaam
13,AF-Q99750-F1-model_v4.pdb,aaan
14,AF-Q9H5I5-F1-model_v4.pdb,aaao
15,AF-Q9P1T7-F1-model_v4.pdb,aaap
16,fold_a0d620_afserver_model_0.pdb,aaaq
17,fold_c4lxg0_afserver_model_0.pdb,aaar
18,fold_cel94374_afserver_model_0.pdb,aaas
19,fold_cug89832_afserver_model_0.pdb,aaat
20,fold_e9bu59_afserver_model_0.pdb,aaau
21,fold_ewm21785_model_0.pdb,aaav
22,fold_f1kpq0_model_0.pdb,aaaw
23,fold_g7ye70_afserver_model_0.pdb,aaax
24,fold_khn03769_model_0.pdb,aaay
25,fold_krx01930_afserver_model_0.pdb,aaaz
26,fold_q54s52_model_0.pdb,aaa0
27,fold_q9vls3_model_0.pdb,aaa1
28,fold_xp_015659765_afserver_model_0.pdb,aaa2
29,fold_xp_022839111_afserver_model_0.pdb,aaa3
30,fold_xp_024369685_afserver_model_0.pdb,aaa4
