identifier,D3,cluster,size,is_representative,identity
CEL94374.1,1,0,3315,TRUE,100
tr|G7YE70|G7YE70_CL,1,1,3269,TRUE,100
sp|Q54S52|Y2801_DIC,1,2,3080,TRUE,100
KRX01930.1,1,3,2888,TRUE,100
6KG7_1|Chains,,4,2822,TRUE,100
sp|Q8CD54|PIEZ2_MOU,,4,2822,FALSE,100
EWM21785.1,1,5,2811,TRUE,100
tr|Q9VLS3|Q9VLS3_DR,1,6,2760,TRUE,100
sp|Q9H5I5|PIEZ2_HUM,,7,2752,TRUE,100
sp|Q9H5I5|PIEZ2_HUM,,7,2752,FALSE,100
XP_015659765.1,1,8,2620,TRUE,100
tr|Q4DXU9|Q4DXU9_TR,,9,2598,TRUE,100
XP_024369685.1,1,10,2572,TRUE,100
sp|M9MSG8|PIEZO_DRO,,11,2551,TRUE,100
6BPZ_1|Chains,,12,1423,FALSE,95.01
3JAC_1|Chains,,12,593,FALSE,98.99
6B3R_1|Chains,,12,2547,TRUE,100
5Z10_1|Chains,,12,2547,FALSE,100
7WLU_1|Chains,,12,2547,FALSE,100
4RAX_1|Chain,,12,252,FALSE,96.83
7WLT_1|Chains,,12,2547,FALSE,100
8IXN_1|Chains,,12,2547,FALSE,99.96
8IXO_1|Chains,,12,2547,FALSE,99.96
8IMZ_1|Chains,,12,2547,FALSE,100
sp|E2JF22|PIEZ1_MOU,,12,2547,FALSE,100
sp|E2JF22|PIEZ1_MOU,,12,2547,FALSE,100
sp|Q0KL00|PIEZ1_RAT,,12,2535,FALSE,94.12
tr|E9BU59|E9BU59_LE,1,13,2533,TRUE,100
6LQI_1|Chains,,14,2523,TRUE,100
8YEZ_1|Chains,,15,2521,FALSE,100
8ZU8_1|Chains,,15,1952,FALSE,99.95
8YFC_1|Chains,,15,2521,FALSE,100
8YFG_1|Chains,,15,2521,FALSE,99.96
8ZU3_1|Chains,,15,2521,FALSE,100
9VMX_1|Chains,,15,2521,FALSE,100
sp|Q92508|PIEZ1_HUM,,15,2521,FALSE,100
sp|Q92508|PIEZ1_HUM,,15,2521,TRUE,100
tr|A0D620|A0D620_PA,1,16,2470,TRUE,100
sp|F4IN58|PIEZO_ARA,,17,2462,TRUE,100
XP_022839111.1,1,18,2452,TRUE,100
4PKX_1|Chain,,19,291,FALSE,96.56
4PKE_1|Chain,,19,291,FALSE,96.91
tr|Q17897|Q17897_CA,,19,2438,FALSE,100
sp|A0A061ACU2|PIEZ1,,19,2442,TRUE,100
tr|C4LXG0|C4LXG0_EN,1,20,2401,TRUE,100
tr|F1KPQ0|F1KPQ0_AS,1,21,2382,TRUE,100
CUG89832.1,1,22,1931,TRUE,100
KHN03769.1,1,23,1818,TRUE,100
sp|O14672|ADA10_HUM,,24,748,TRUE,100
tr|H2J8A7|H2J8A7_MA,,25,419,TRUE,100
tr|H2J7Z5|H2J7Z5_MA,,26,385,TRUE,100
sp|B9EJG8|T150C_HUM,,27,249,TRUE,100
sp|Q9P1T7|MDFIC_HUM,,28,246,TRUE,100
sp|Q99750|MDFI_HUMA,,29,246,TRUE,100
sp|Q8TAF8|TMHS_HUMA,,30,219,TRUE,100
