,target,taxID
0,AF-Q9H5I5-2-F1-model_v6,9606
1,AF-A0AB32U1Q1-F1-model_v6,7955
2,AF-Q4DXU9-F1-model_v6,353153
3,AF-M9MSG8-F1-model_v6,7227
4,AF-E2JF22-F1-model_v6,10090
5,AF-A0A8N7TDV6-F1-model_v6,7955
6,AF-Q92508-F1-model_v6,9606
7,AF-A0A804N3J1-F1-model_v6,4577
8,AF-Q8CD54-2-F1-model_v6,10090
9,AF-K7LGZ8-F1-model_v6,3847
10,AF-F4IN58-F1-model_v6,3702
11,AF-A0A061ACU2-F1-model_v6,6239
12,AF-A0A061ACU2-8-F1-model_v6,6239
13,AF-A0A8R1XXW9-F1-model_v6,6282
14,AF-A0A126GUQ2-F1-model_v6,7227
15,AF-A0AAF5DN64-F1-model_v6,6248
16,AF-A0A4E9EUW2-F1-model_v6,6279
17,AF-K7MZZ7-F1-model_v6,3847
18,AF-A0A4E9F501-F1-model_v6,6279
19,AF-A0A158Q5L0-F1-model_v6,318479
20,AF-A4I9U0-F1-model_v6,5671
21,AF-A0A0N4U6X9-F1-model_v6,318479
22,6kg7-assembly1_A,9337
23,AF-A0A077Z8J1-F1-model_v6,36087
24,AF-A0A4E9FEN3-F1-model_v6,6279
25,AF-A0A061ACU2-10-F1-model_v6,6239
26,AF-A0A8R1TRS9-F1-model_v6,6282
27,AF-A0A8R1U0Y7-F1-model_v6,6282
28,6b3r-assembly1_A,77932
29,7wlu-assembly1_A,176057
30,7wlt-assembly1_A,10090
31,5z10-assembly1_A,10090
32,AF-A0A6A4WMD7-F1-model_v6,1232801
33,AF-A0A817NR70-F1-model_v6,2762512
34,AF-A0A1A8AGX9-F1-model_v6,105023
35,AF-A0A8S2LA96-F1-model_v6,392030
36,AF-A0A7J7JSE9-F1-model_v6,10212
37,AF-A0A6H5H055-F1-model_v6,355587
38,AF-A0A653DHE2-F1-model_v6,64391
39,AF-A0A480KZG1-F1-model_v6,9823
40,AF-A0A9P0M8D5-F1-model_v6,200917
41,AF-A0A158Q727-F1-model_v6,1147741
42,AF-A0A2H1X0Q2-F1-model_v6,7108
43,AF-A0A1I8EMU6-F1-model_v6,6293
44,AF-A0A6J2YXD6-F1-model_v6,7048
45,AF-A0A6C0PNJ5-F1-model_v6,6645
46,AF-A0A0Q5UK93-F1-model_v6,7220
47,AF-A0A0A1U646-F1-model_v6,370355
48,AF-A0A7J8CKB3-F1-model_v6,9407
49,AF-A0A8T0F7P9-F1-model_v6,94029
50,AF-A0A1B6FU70-F1-model_v6,1464854
51,AF-A0A8C2B9A3-F1-model_v6,7962
52,AF-A0A5J4XY78-F1-model_v6,2608996
53,AF-A0A914YNX1-F1-model_v6,310955
54,AF-A0A3N0XQA4-F1-model_v6,495550
55,AF-A0A226EIU0-F1-model_v6,158441
56,AF-A0A6A4MBG7-F1-model_v6,262921
57,8imz-assembly1_A,10090
58,AF-A0AAV6VPB1-F1-model_v6,931172
59,AF-A0A8T3E3G7-F1-model_v6,1534307
60,AF-A0A8C6VJD5-F1-model_v6,35670
61,AF-A0A3Q3G502-F1-model_v6,56723
62,AF-A0A0V1FX63-F1-model_v6,6337
63,AF-A0A9P0M3N9-F1-model_v6,200917
64,AF-A0A2S2NRA1-F1-model_v6,13262
65,AF-A0A0N5B170-F1-model_v6,451379
66,AF-A0A9P0M5D4-F1-model_v6,200917
67,AF-A0A9P0KR01-F1-model_v6,200917
68,AF-A0A0V1E9W0-F1-model_v6,6337
69,AF-A0A4U5PAW8-F1-model_v6,34508
70,AF-A0AAV9R4T2-F1-model_v6,28760
71,AF-A0A915ANH7-F1-model_v6,6257
72,AF-A0A914UZ51-F1-model_v6,2011161
73,AF-A0AAV2PTF5-F1-model_v6,48144
74,AF-A0A8T0ZJ80-F1-model_v6,29920
75,AF-A0A0A9XEI2-F1-model_v6,30085
76,AF-A0A315VGY0-F1-model_v6,33528
77,AF-A0A3Q2Y0W9-F1-model_v6,109280
78,AF-A0A4D9EAT4-F1-model_v6,55544
79,AF-A0ABD1CZ18-F1-model_v6,38569
80,AF-A0A915EHD0-F1-model_v6,166011
81,AF-A0A132A596-F1-model_v6,52283
82,AF-A0AAV7IMW3-F1-model_v6,32391
83,AF-A0A8S1WAT3-F1-model_v6,43138
84,AF-A0A3Q0JIM1-F1-model_v6,121845
85,AF-A0AA88GF15-F1-model_v6,51637
86,AF-A0AAF3J5Y6-F1-model_v6,2138241
87,AF-A0AAV6KZH3-F1-model_v6,479676
88,AF-A0A9Q0IW25-F1-model_v6,630683
89,AF-A0A818JV57-F1-model_v6,392032
90,AF-A0A158PKC0-F1-model_v6,334426
91,AF-A0A0B2VML1-F1-model_v6,6265
92,AF-A0A1I8EI99-F1-model_v6,6293
93,AF-A0AA35WA03-F1-model_v6,519541
94,AF-A0A267FGS4-F1-model_v6,282301
95,AF-A0AAN9VLX4-F1-model_v6,2509291
96,AF-A0A7R9CMV8-F1-model_v6,61476
97,AF-A0A8C8DMC3-F1-model_v6,183150
98,AF-A0ABD1CZ82-F1-model_v6,38569
99,AF-A0AA35RM69-F1-model_v6,519541
100,AF-A0A5C6P1S9-F1-model_v6,433684
101,AF-A0A8B7DUG8-F1-model_v6,6087
102,AF-A0A183GYL3-F1-model_v6,387005
103,AF-A0A915M3J2-F1-model_v6,6303
104,AF-A0A818S591-F1-model_v6,392032
105,AF-A0A226EKW9-F1-model_v6,158441
106,AF-A0A6F9ATM2-F1-model_v6,861768
107,AF-A0A8C7MFW4-F1-model_v6,8019
108,AF-A0A819E6A4-F1-model_v6,392033
109,AF-A0A1I8N034-F1-model_v6,7370
110,AF-A0A0B7AR40-F1-model_v6,1028688
111,AF-A0A069DX80-F1-model_v6,65343
112,AF-A0A196SI25-F1-model_v6,478820
113,AF-A0A670I236-F1-model_v6,64176
114,AF-A0A3Q1F967-F1-model_v6,80966
115,AF-A0A4D9E3Z0-F1-model_v6,55544
116,AF-A0A418DDV9-F1-model_v6,112090
117,AF-A0A6P6HMM7-F1-model_v6,9696
118,AF-A0AB34GA82-F1-model_v6,9764
119,AF-A0A2G8KG58-F1-model_v6,307972
120,AF-A0A0N5CXE1-F1-model_v6,103827
121,AF-A0A3N0XTK6-F1-model_v6,495550
122,AF-A0A1I8J2S1-F1-model_v6,282301
123,AF-M3TFI1-F1-model_v6,885319
124,AF-J9EW84-F1-model_v6,6293
125,AF-A0A401NZB4-F1-model_v6,75743
126,AF-A0A9D4DY65-F1-model_v6,45954
127,AF-A0A3B0K6R0-F1-model_v6,7266
128,AF-A0A8B6XZ36-F1-model_v6,6087
129,AF-A0A6V7VMH3-F1-model_v6,390850
130,AF-A0A453EUB4-F1-model_v6,200361
131,AF-A0A0T6BCZ5-F1-model_v6,1629725
132,AF-A0A1I8GQH9-F1-model_v6,282301
133,AF-A0A5N3V507-F1-model_v6,9888
134,AF-A0A9P0P8I7-F1-model_v6,200917
135,AF-W6U812-F1-model_v6,6210
136,AF-K2NF10-F1-model_v6,85056
137,AF-E4YX63-F1-model_v6,34765
138,AF-A0A9P0Q444-F1-model_v6,200917
139,AF-A0AAD3N4L6-F1-model_v6,270547
140,AF-A0AB34GB94-F1-model_v6,9764
141,AF-A0A9P0KJ22-F1-model_v6,200917
142,AF-A0A9Q1JA68-F1-model_v6,118154
143,AF-A0A914N2I7-F1-model_v6,6306
144,AF-A0A6J3A8I7-F1-model_v6,419612
145,AF-G3NS86-F1-model_v6,481459
146,AF-A0A7R9CQG1-F1-model_v6,61476
147,AF-A0A819ZSB0-F1-model_v6,2762512
148,AF-A0A817ENN0-F1-model_v6,2762512
149,AF-A0A553R787-F1-model_v6,2873325
150,AF-A0AAD5RB83-F1-model_v6,148309
151,AF-A0AAW0NN53-F1-model_v6,88201
152,AF-A0AAW0IWY1-F1-model_v6,447135
153,AF-A0A7G2C012-F1-model_v6,59799
154,AF-A0A1S3HPU6-F1-model_v6,7574
155,AF-A0A1I8CPI5-F1-model_v6,34506
156,AF-A0AA36CH18-F1-model_v6,96644
157,AF-A0A3P7E8S5-F1-model_v6,6293
158,AF-A0AAD7TBA8-F1-model_v6,143900
159,AF-A0A0V1FX62-F1-model_v6,6337
160,AF-A0A817PEB7-F1-model_v6,2762512
161,AF-A0A915AV10-F1-model_v6,6257
162,AF-H2YLP9-F1-model_v6,51511
163,AF-A0A0C9R8R9-F1-model_v6,64838
164,AF-A0A1S3QF89-F1-model_v6,8030
165,AF-A0A2G8LNX9-F1-model_v6,307972
166,AF-A0A915ALY6-F1-model_v6,6257
167,AF-A0AAV4T1Y6-F1-model_v6,172846
168,AF-A0AAD9BN81-F1-model_v6,100907
169,AF-A0A0N4WCJ0-F1-model_v6,6290
170,AF-A0A914MN15-F1-model_v6,6306
171,AF-A0A8S2R756-F1-model_v6,392030
172,AF-A0A0S7F270-F1-model_v6,188132
173,AF-A0ABD0Y9M7-F1-model_v6,642074
174,AF-A0A7R9I936-F1-model_v6,61484
175,AF-A0A815HH47-F1-model_v6,392033
176,AF-A0A836CXX6-F1-model_v6,9940
177,AF-A0A2H8TD61-F1-model_v6,742174
178,AF-A0A9N9MSI1-F1-model_v6,467358
179,AF-A0A0D6MDC8-F1-model_v6,53326
180,AF-A0A817GSN5-F1-model_v6,2762512
181,AF-A0A0V0ZU08-F1-model_v6,990121
182,AF-A0A9J2Q5G7-F1-model_v6,6252
183,AF-A0A812U4U4-F1-model_v6,631055
184,AF-A0A5J4W070-F1-model_v6,222440
185,AF-A0A915KAT0-F1-model_v6,13658
186,AF-A0A672R5R8-F1-model_v6,75366
187,AF-V3ZF50-F1-model_v6,225164
188,AF-A0A7J5YJ68-F1-model_v6,36200
189,AF-A6IXL9-F1-model_v6,10116
190,AF-A0A1A7X1H1-F1-model_v6,60296
191,AF-A0A7S3VUF6-F1-model_v6,3047
192,AF-A0A6G1RNA9-F1-model_v6,2861861
193,AF-A0A813RPE4-F1-model_v6,104777
194,AF-A0A4Z2BWV0-F1-model_v6,433685
195,AF-A0A914LGH4-F1-model_v6,6306
196,AF-A0A8S2PEM8-F1-model_v6,1234261
197,AF-A0A3P7U3X9-F1-model_v6,42155
