,orginalPDB,daliPDB
0,5z10.pdb,aaaa
1,6b3r.pdb,aaab
2,6bpz.pdb,aaac
3,6kg7.pdb,aaad
4,7wlt.pdb,aaae
5,7wlu.pdb,aaaf
6,8imz.pdb,aaag
7,AF-A0A060WRK2-F1-model_v6.pdb,aaah
8,AF-A0A060WVG4-F1-model_v6.pdb,aaai
9,AF-A0A060WXK8-F1-model_v6.pdb,aaaj
10,AF-A0A060X2S1-F1-model_v6.pdb,aaak
11,AF-A0A061ACU2-10-F1-model_v6.pdb,aaal
12,AF-A0A061ACU2-11-F1-model_v6.pdb,aaam
13,AF-A0A061ACU2-2-F1-model_v6.pdb,aaan
14,AF-A0A061ACU2-3-F1-model_v6.pdb,aaao
15,AF-A0A061ACU2-4-F1-model_v6.pdb,aaap
16,AF-A0A061ACU2-5-F1-model_v6.pdb,aaaq
17,AF-A0A061ACU2-6-F1-model_v6.pdb,aaar
18,AF-A0A061ACU2-7-F1-model_v6.pdb,aaas
19,AF-A0A061ACU2-8-F1-model_v6.pdb,aaat
20,AF-A0A061ACU2-9-F1-model_v6.pdb,aaau
21,AF-A0A061ACU2-F1-model_v6.pdb,aaav
22,AF-A0A069DX80-F1-model_v6.pdb,aaaw
23,AF-A0A077Z8J1-F1-model_v6.pdb,aaax
24,AF-A0A077ZB03-F1-model_v6.pdb,aaay
25,AF-A0A087T591-F1-model_v6.pdb,aaaz
26,AF-A0A087UY53-F1-model_v6.pdb,aaa0
27,AF-A0A091DNK6-F1-model_v6.pdb,aaa1
28,AF-A0A091WF12-F1-model_v6.pdb,aaa2
29,AF-A0A0A1TXS4-F1-model_v6.pdb,aaa3
30,AF-A0A0A1U646-F1-model_v6.pdb,aaa4
31,AF-A0A0A9XEI2-F1-model_v6.pdb,aaa5
32,AF-A0A0B1TC86-F1-model_v6.pdb,aaa6
33,AF-A0A0B2VM07-F1-model_v6.pdb,aaa7
34,AF-A0A0B7AES0-F1-model_v6.pdb,aaa8
35,AF-A0A0B7AHW3-F1-model_v6.pdb,aaa9
36,AF-A0A0B7AHX0-F1-model_v6.pdb,aaba
37,AF-A0A0B7AR44-F1-model_v6.pdb,aabb
38,AF-A0A0C2G3H6-F1-model_v6.pdb,aabc
39,AF-A0A0C2GSY1-F1-model_v6.pdb,aabd
40,AF-A0A0C9S9M1-F1-model_v6.pdb,aabe
41,AF-A0A0D6MA53-F1-model_v6.pdb,aabf
42,AF-A0A0D8XKP2-F1-model_v6.pdb,aabg
43,AF-A0A0D8XPP7-F1-model_v6.pdb,aabh
44,AF-A0A0J9Y2E7-F1-model_v6.pdb,aabi
45,AF-A0A0K0D0A4-F1-model_v6.pdb,aabj
46,AF-A0A0K0DK96-F1-model_v6.pdb,aabk
47,AF-A0A0K0FWJ2-F1-model_v6.pdb,aabl
48,AF-A0A0K0FX37-F1-model_v6.pdb,aabm
49,AF-A0A0K9PBD9-F1-model_v6.pdb,aabn
50,AF-A0A0L7KQS8-F1-model_v6.pdb,aabo
51,AF-A0A0L7KV50-F1-model_v6.pdb,aabp
52,AF-A0A0L8GD86-F1-model_v6.pdb,aabq
53,AF-A0A0M3I8P1-F1-model_v6.pdb,aabr
54,AF-A0A0M3J222-F1-model_v6.pdb,aabs
55,AF-A0A0M3J2Y6-F1-model_v6.pdb,aabt
