,target,prob,e_val,qStartPos,qEndPos
0,AF-Q9H5I5-2-F1-model_v6,1.00,0.00e+0,1,2520
1,AF-A0AB32U1Q1-F1-model_v6,1.00,0.00e+0,18,2520
2,AF-Q4DXU9-F1-model_v6,1.00,1.52e-43,44,2519
3,AF-M9MSG8-F1-model_v6,1.00,0.00e+0,1,2521
4,AF-E2JF22-F1-model_v6,1.00,0.00e+0,1,2521
5,AF-A0A8N7TDV6-F1-model_v6,1.00,0.00e+0,1,2520
6,AF-Q92508-F1-model_v6,1.00,0.00e+0,1,2521
7,AF-A0A804N3J1-F1-model_v6,1.00,4.10e-55,13,2520
8,AF-Q8CD54-2-F1-model_v6,1.00,0.00e+0,1,2168
9,AF-K7LGZ8-F1-model_v6,1.00,2.39e-55,7,2520
10,AF-F4IN58-F1-model_v6,1.00,1.93e-53,7,2520
11,AF-A0A061ACU2-F1-model_v6,1.00,0.00e+0,1,2520
12,AF-A0A061ACU2-8-F1-model_v6,1.00,0.00e+0,1,2520
13,AF-A0A8R1XXW9-F1-model_v6,1.00,0.00e+0,14,2521
14,AF-A0A126GUQ2-F1-model_v6,1.00,0.00e+0,2,2521
15,AF-A0AAF5DN64-F1-model_v6,1.00,7.27e-103,15,2521
16,AF-A0A4E9EUW2-F1-model_v6,1.00,0.00e+0,1,2521
17,AF-K7MZZ7-F1-model_v6,1.00,4.37e-49,2,2520
18,AF-A0A4E9F501-F1-model_v6,1.00,9.21e-49,565,2492
19,AF-A0A158Q5L0-F1-model_v6,1.00,7.14e-85,544,2521
20,AF-A4I9U0-F1-model_v6,1.00,5.94e-29,1372,2521
21,AF-A0A0N4U6X9-F1-model_v6,1.00,3.92e-98,535,2521
22,6kg7-assembly1_A,1.00,0.00e+0,9,2521
23,AF-A0A077Z8J1-F1-model_v6,1.00,1.30e-97,521,2520
24,AF-A0A4E9FEN3-F1-model_v6,1.00,6.09e-68,198,2521
25,AF-A0A061ACU2-10-F1-model_v6,1.00,8.63e-86,715,2520
26,AF-A0A8R1TRS9-F1-model_v6,1.00,2.04e-50,187,2521
27,AF-A0A8R1U0Y7-F1-model_v6,1.00,8.72e-45,770,2502
28,6b3r-assembly1_A,1.00,0.00e+0,574,2520
29,7wlu-assembly1_A,1.00,0.00e+0,571,2521
30,7wlt-assembly1_A,1.00,0.00e+0,790,2521
31,5z10-assembly1_A,1.00,0.00e+0,571,2521
32,AF-A0A6A4WMD7-F1-model_v6,1.00,2.20e-45,1,1149
33,AF-A0A817NR70-F1-model_v6,1.00,1.75e-44,2,2521
34,AF-A0A1A8AGX9-F1-model_v6,1.00,3.42e-103,1278,2519
35,AF-A0A8S2LA96-F1-model_v6,1.00,1.17e-55,3,1232
36,AF-A0A7J7JSE9-F1-model_v6,1.00,8.25e-50,598,2038
37,AF-A0A6H5H055-F1-model_v6,1.00,1.10e-37,1807,2489
38,AF-A0A653DHE2-F1-model_v6,1.00,4.06e-55,1003,2521
39,AF-A0A480KZG1-F1-model_v6,1.00,3.92e-69,1,1147
