TC,accession,,species,TaxID,
A.75.1.25,XP_024369685,1,Physcomitrium patens,3218,
1.A.75.1.19,XP_022839111.1,1,Ostreococcus tauri,70448,
A.75.1.18,XP_015659765.1,1,Leptomonas pyrrhocoris,157538 ,
A.75.1.3,Q9VLS3,1,Drosophila melanogaster,7227,
1.A.75.1.1,Q9P1T7,1,Human,9606,
1.A.75.1.2,Q9H5I5,1,Human,9606,
1.A.75.1.2,Q99750,1,Human,9606,
1.A.75.1.1,Q92508,1,Human,9606,
1.A.82.1.1,Q8TAF8,1,Human,9606,
8.A.116.1.1,Q8K467,1,Mouse,10090,
1.A.75.1.11,Q4DXU9,1,Trypanosoma cruzi,353153,
1.A.75.1.8,Q17897,1,Caenorhabditis elegans,9236,
A.77.1.4,O14672,1,Human,9606,
1.A.75.1.20,KRX01930.1,1,Pseudocohnilembus persalinus,266149,
1.A.75.1.15,KHN03769.1,1,Glycine soja,3848,
9.B.67.8.3,H2J8A7,1,Marinitoga piezophila (strain DSM 14283 / JCM 11233 / KA3),443254,
2.A.103.1.6,H2J7Z5,1,Marinitoga piezophila (strain DSM 14283 / JCM 11233 / KA3),443254,
1.B.48.2.3,H2J7Q9,1,Marinitoga piezophila (strain DSM 14283 / JCM 11233 / KA3),443254,
1.E.26.1.5,H2J4D8,1,Marinitoga piezophila (strain DSM 14283 / JCM 11233 / KA3),443254,
1.A.75.1.9,G7YE70,1,Clonorchis sinensis,79923,
1.A.75.1.7,F1KPQ0,1,Ascaris suum,6253,
1.A.75.1.22,EWM21785.1,1,Nannochloropsis gaditana,72520,
1.A.75.1.12,E9BU59,1,Leishmania donovani,981087,
1.A.75.1.14,E2JF22,1,Mouse,10090,
1.A.75.1.13,CUG89832.1,1,Bodo saltans,75058,A0A0S4JIE4
1.A.75.1.17,CEL94374.1,1,Vitrella brassicaformis CCMP3155,1169540,
1.A.75.1.21,C4LXG0,1,Entamoeba histolytica,5759,
8.A.113.1.1,B9EJG8,1,Human,9606,
1.A.75.1.10,A0D620,1,Paramecium tetraurelia,5888 ,
