,identifier,cluster,size,is_representative,identity
0,AF-Q9H5I5-2-F1-mode,0,2689,True,100.0
1,AF-Q9H5I5-2-F1-mode,0,2689,False,100.0
2,AF-Q9H5I5-2-F1-mode,0,2689,False,100.0
3,AF-H2NVU7-F1-model_,0,1245,False,97.75
4,AF-A0A8C6W4L5-F1-mo,0,1047,False,91.31
5,AF-A0A2J8RFR7-F1-mo,0,611,False,99.18
6,AF-A0A2J8JZJ6-F1-mo,0,595,False,93.45
7,AF-U6DH90-F1-model_,0,330,False,96.97
8,AF-A0A2J8JZK3-F1-mo,0,596,False,97.65
9,AF-U6DQK6-F1-model_,0,490,False,96.12
10,AF-G3TBB6-F1-model_,0,499,False,91.18
11,AF-A0A5E4DIA1-F1-mo,0,220,False,98.18
12,AF-A0A1A8NAR5-F1-mo,0,145,False,93.79
13,AF-A0A2J8JZL4-F1-mo,0,192,False,100.0
14,AF-Q9H5I5-2-F1-mode,0,2689,False,100.0
15,AF-Q9H5I5-2-F1-mode,0,2689,False,100.0
16,AF-Q9H5I5-2-F1-mode,0,2689,False,100.0
17,AF-A0A2J8JZJ6-F1-mo,0,595,False,93.45
18,AF-U6DH90-F1-model_,0,330,False,96.97
19,AF-A0A2J8RFR7-F1-mo,0,611,False,99.18
20,AF-A0A5E4DIA1-F1-mo,0,220,False,98.18
21,AF-A0A8C6W4L5-F1-mo,0,1047,False,91.31
22,AF-A0A1A8NAR5-F1-mo,0,145,False,93.79
23,AF-U6DQK6-F1-model_,0,490,False,96.12
24,AF-H2NVU7-F1-model_,0,1245,False,97.75
25,AF-A0A2J8JZL4-F1-mo,0,192,False,100.0
26,AF-A0A2J8JZK3-F1-mo,0,596,False,97.65
27,AF-G3TBB6-F1-model_,0,499,False,91.18
28,AF-A0AB32U1Q1-F1-mo,1,2651,True,100.0
29,AF-A0AB32U1Q1-F1-mo,1,2651,False,100.0
30,AF-A0AB32U1Q1-F1-mo,1,2651,False,100.0
31,AF-A0AB32U1Q1-F1-mo,1,2651,False,100.0
32,AF-Q4DD73-F1-model_,2,2137,False,97.61
33,AF-Q4DXU9-F1-model_,2,2598,True,100.0
34,AF-Q4DD73-F1-model_,2,2137,False,97.61
35,AF-Q4DXU9-F1-model_,2,2598,False,100.0
36,AF-K2MPX9-F1-model_,2,871,False,91.04
37,AF-Q4DD73-F1-model_,2,2137,False,97.61
38,AF-Q4DXU9-F1-model_,2,2598,False,100.0
39,AF-Q4DD73-F1-model_,2,2137,False,97.61
40,AF-Q4DXU9-F1-model_,2,2598,False,100.0
41,AF-K2MPX9-F1-model_,2,871,False,91.04
42,AF-M9MSG8-F1-model_,3,2551,True,100.0
43,AF-M9MSG8-F1-model_,3,2551,False,100.0
44,AF-M9MSG8-F1-model_,3,2551,False,100.0
45,AF-A0A6P4EDF8-F1-mo,3,457,False,93.65
46,AF-A0A6P4EL26-F1-mo,3,254,False,97.64
47,AF-M9MSG8-F1-model_,3,2551,False,100.0
48,AF-M9MSG8-F1-model_,3,2551,False,100.0
49,AF-M9MSG8-F1-model_,3,2551,False,100.0
50,AF-A0A6P4EDF8-F1-mo,3,457,False,93.65
51,AF-A0A6P4EL26-F1-mo,3,254,False,97.64
52,AF-Q0KL00-F1-model_,4,2535,False,94.12
53,AF-E2JF22-F1-model_,4,2547,True,100.0
54,AF-Q0KL00-F1-model_,4,2535,False,94.12
55,AF-E2JF22-F1-model_,4,2547,False,100.0
56,AF-F6QY99-F1-model_,4,1003,False,95.11
57,AF-Q811I7-F1-model_,4,1085,False,93.46
58,AF-A0A2D4FS15-F1-mo,4,180,False,92.22
59,4rax-assembly1_A,4,227,False,100.0
60,AF-Q0KL00-F1-model_,4,2535,False,94.12
61,AF-E2JF22-F1-model_,4,2547,False,100.0
62,AF-Q0KL00-F1-model_,4,2535,False,94.12
63,AF-E2JF22-F1-model_,4,2547,False,100.0
64,AF-F6QY99-F1-model_,4,1003,False,95.11
65,AF-Q811I7-F1-model_,4,1085,False,93.46
66,AF-A0A2D4FS15-F1-mo,4,180,False,92.22
67,4rax-assembly1_A,4,227,False,100.0
68,AF-A0A8N7TDV6-F1-mo,5,2538,True,100.0
69,AF-A0A8N7TDV6-F1-mo,5,2538,False,100.0
70,AF-A0A8N7TDV6-F1-mo,5,2538,False,100.0
71,AF-A0A8N7TDV6-F1-mo,5,2538,False,100.0
72,AF-Q92508-F1-model_,6,2521,True,100.0
73,AF-Q92508-F1-model_,6,2521,False,100.0
74,AF-Q92508-F1-model_,6,2521,False,100.0
75,AF-Q92508-F1-model_,6,2521,False,100.0
76,AF-A0A804N3J1-F1-mo,7,2505,True,100.0
77,AF-A0A804N3J1-F1-mo,7,2505,False,100.0
78,AF-A0A1D6MTE4-F1-mo,7,789,False,98.99
79,AF-A0A1D6MTE7-F1-mo,7,491,False,98.78
80,AF-A0A1D6MTF2-F1-mo,7,851,False,100.0
81,AF-A0A804N3J1-F1-mo,7,2505,False,100.0
82,AF-A0A804N3J1-F1-mo,7,2505,False,100.0
83,AF-A0A1D6MTF2-F1-mo,7,851,False,100.0
84,AF-A0A1D6MTE4-F1-mo,7,789,False,98.99
85,AF-A0A1D6MTE7-F1-mo,7,491,False,98.78
86,AF-Q8CD54-2-F1-mode,8,2504,True,100.0
87,AF-Q8CD54-3-F1-mode,8,644,False,97.83
88,AF-Q8CD54-2-F1-mode,8,2504,False,100.0
89,AF-G7NKB6-F1-model_,8,883,False,93.43
90,AF-Q8CD54-2-F1-mode,8,2504,False,100.0
91,AF-Q8CD54-3-F1-mode,8,644,False,97.83
92,AF-Q8CD54-2-F1-mode,8,2504,False,100.0
93,AF-G7NKB6-F1-model_,8,883,False,93.43
94,AF-K7LGZ8-F1-model_,9,2483,True,100.0
95,AF-K7K8F8-F1-model_,9,2482,False,95.69
96,AF-K7LGZ8-F1-model_,9,2483,False,100.0
97,AF-K7K8F8-F1-model_,9,2482,False,95.69
98,AF-F4IN58-F1-model_,10,2462,True,100.0
99,AF-F4IN58-F1-model_,10,2462,False,100.0
100,AF-A0A397Z990-F1-mo,10,438,False,96.8
101,AF-F4IN58-F1-model_,10,2462,False,100.0
102,AF-F4IN58-F1-model_,10,2462,False,100.0
103,AF-A0A397Z990-F1-mo,10,438,False,96.8
104,AF-A0A061ACU2-6-F1-,11,2440,False,99.96
105,AF-A0A061ACU2-2-F1-,11,2438,False,100.0
106,AF-A0A061ACU2-4-F1-,11,2440,False,100.0
107,AF-A0A061ACU2-F1-mo,11,2442,True,100.0
108,AF-A0A061ACU2-11-F1,11,1686,False,100.0
109,AF-A0A061ACU2-9-F1-,11,1704,False,96.65
110,AF-A0A061ACU2-12-F1,11,1038,False,100.0
111,AF-A0A061ACU2-6-F1-,11,2440,False,99.96
112,AF-A0A061ACU2-2-F1-,11,2438,False,100.0
113,AF-A0A061ACU2-4-F1-,11,2440,False,100.0
114,AF-A0A061ACU2-F1-mo,11,2442,False,100.0
115,AF-A0A061ACU2-11-F1,11,1686,False,100.0
116,AF-A0A061ACU2-9-F1-,11,1704,False,96.65
117,AF-A0A061ACU2-12-F1,11,1038,False,100.0
118,AF-A0A061ACU2-F1-mo,11,2442,False,100.0
119,AF-A0A061ACU2-12-F1,11,1038,False,100.0
120,AF-A0A061ACU2-11-F1,11,1686,False,100.0
121,AF-A0A061ACU2-9-F1-,11,1704,False,96.65
122,AF-A0A061ACU2-6-F1-,11,2440,False,99.96
123,AF-A0A061ACU2-2-F1-,11,2438,False,100.0
124,AF-A0A061ACU2-4-F1-,11,2440,False,100.0
125,AF-A0A061ACU2-F1-mo,11,2442,False,100.0
126,AF-A0A061ACU2-12-F1,11,1038,False,100.0
127,AF-A0A061ACU2-11-F1,11,1686,False,100.0
128,AF-A0A061ACU2-9-F1-,11,1704,False,96.65
129,AF-A0A061ACU2-6-F1-,11,2440,False,99.96
130,AF-A0A061ACU2-2-F1-,11,2438,False,100.0
131,AF-A0A061ACU2-4-F1-,11,2440,False,100.0
132,AF-A0A061ACU2-F1-mo,11,2442,False,100.0
133,AF-A0A061ACU2-12-F1,11,1038,False,100.0
134,AF-A0A061ACU2-F1-mo,11,2442,False,100.0
135,AF-A0A061ACU2-12-F1,11,1038,False,100.0
136,AF-A0A061ACU2-5-F1-,12,2402,False,100.0
137,AF-A0A061ACU2-7-F1-,12,2402,False,99.96
138,AF-A0A061ACU2-3-F1-,12,2400,False,100.0
139,AF-A0A061ACU2-8-F1-,12,2404,True,100.0
140,AF-A0A061ACU2-5-F1-,12,2402,False,100.0
141,AF-A0A061ACU2-7-F1-,12,2402,False,99.96
142,AF-A0A061ACU2-3-F1-,12,2400,False,100.0
143,AF-A0A061ACU2-8-F1-,12,2404,False,100.0
144,AF-A0A061ACU2-5-F1-,12,2402,False,100.0
145,AF-A0A061ACU2-3-F1-,12,2400,False,100.0
146,AF-A0A061ACU2-7-F1-,12,2402,False,99.96
147,AF-A0A061ACU2-8-F1-,12,2404,False,100.0
148,AF-A0A061ACU2-5-F1-,12,2402,False,100.0
149,AF-A0A061ACU2-3-F1-,12,2400,False,100.0
150,AF-A0A061ACU2-7-F1-,12,2402,False,99.96
151,AF-A0A061ACU2-8-F1-,12,2404,False,100.0
152,AF-A0A8R1XXW9-F1-mo,13,2372,True,100.0
153,AF-A0A182DWL9-F1-mo,13,1031,False,97.96
154,AF-A0A8R1XXW9-F1-mo,13,2372,False,100.0
155,AF-A0A182DWL9-F1-mo,13,1031,False,97.96
156,AF-A0A126GUQ2-F1-mo,14,2326,True,100.0
157,AF-A0A126GUQ2-F1-mo,14,2326,False,100.0
158,AF-A0A0J9TTG7-F1-mo,14,413,False,92.49
159,AF-A0A126GUQ2-F1-mo,14,2326,False,100.0
160,AF-A0A126GUQ2-F1-mo,14,2326,False,100.0
161,AF-A0A0J9TTG7-F1-mo,14,413,False,92.49
162,AF-A0A6P8K3S4-F1-mo,14,293,False,90.1
163,AF-A0AAF5DNU2-F1-mo,15,2316,False,99.48
164,AF-A0AAF5DN64-F1-mo,15,2326,True,100.0
165,AF-A0AAF5DN64-F1-mo,15,2326,False,100.0
166,AF-A0AAF5DNU2-F1-mo,15,2316,False,99.48
167,AF-A0AAF5DN64-F1-mo,15,2326,False,100.0
168,AF-A0AAF5DN64-F1-mo,15,2326,False,100.0
169,AF-A0A4E9EUW2-F1-mo,16,2318,True,100.0
170,AF-A0A4E9EUW2-F1-mo,16,2318,False,100.0
171,AF-A0A1I9GDM3-F1-mo,16,588,False,100.0
172,AF-A0A0R3QSP2-F1-mo,16,435,False,98.39
173,AF-A0A4E9EUW2-F1-mo,16,2318,False,100.0
174,AF-A0A4E9EUW2-F1-mo,16,2318,False,100.0
175,AF-A0A0R3QSP2-F1-mo,16,435,False,98.39
176,AF-A0A1I9GDM3-F1-mo,16,588,False,100.0
177,AF-K7MZZ7-F1-model_,17,2138,True,100.0
178,AF-K7MZZ7-F1-model_,17,2138,False,100.0
179,AF-K7MZZ7-F1-model_,17,2138,False,100.0
180,AF-K7MZZ7-F1-model_,17,2138,False,100.0
181,AF-A0A4E9F501-F1-mo,18,2024,True,100.0
182,AF-A0A3P7FEF7-F1-mo,18,853,False,90.62
183,AF-A0A4E9F501-F1-mo,18,2024,False,100.0
184,AF-A0A3P7FEF7-F1-mo,18,853,False,90.62
185,AF-A0A4E9F501-F1-mo,18,2024,False,100.0
186,AF-A0A3P7FEF7-F1-mo,18,853,False,90.62
187,AF-A0A4E9F501-F1-mo,18,2024,False,100.0
188,AF-A0A3P7FEF7-F1-mo,18,853,False,90.62
189,AF-A0A158Q5L0-F1-mo,19,1937,True,100.0
190,AF-A0A158Q5L0-F1-mo,19,1937,False,100.0
191,AF-A0A158Q5L0-F1-mo,19,1937,False,100.0
192,AF-A0A158Q5L0-F1-mo,19,1937,False,100.0
193,AF-A4I9U0-F1-model_,20,1864,True,100.0
194,AF-A4I9U0-F1-model_,20,1864,False,100.0
195,AF-A4I9U0-F1-model_,20,1864,False,100.0
196,AF-A4I9U0-F1-model_,20,1864,False,100.0
197,AF-A0A0N4U6X9-F1-mo,21,1855,True,100.0
198,AF-A0A0N4U6X9-F1-mo,21,1855,False,100.0
199,AF-A0A0N4U6X9-F1-mo,21,1855,False,100.0
200,AF-A0A0N4U6X9-F1-mo,21,1855,False,100.0
201,6kg7-assembly1_A,22,1817,True,100.0
202,6kg7-assembly1_A,22,1817,False,100.0
203,AF-A0A077Z8J1-F1-mo,23,1801,True,100.0
204,AF-A0A077Z8J1-F1-mo,23,1801,False,100.0
205,AF-A0A077Z8J1-F1-mo,23,1801,False,100.0
206,AF-A0A077Z8J1-F1-mo,23,1801,False,100.0
207,AF-A0A4E9FEN3-F1-mo,24,1782,True,100.0
208,AF-A0A4E9FEN3-F1-mo,24,1782,False,100.0
209,AF-A0A4E9FEN3-F1-mo,24,1782,False,100.0
210,AF-A0A4E9FEN3-F1-mo,24,1782,False,100.0
211,AF-J9EUL2-F1-model_,24,393,False,95.42
212,AF-A0A061ACU2-10-F1,25,1730,True,100.0
213,AF-A0A061ACU2-10-F1,25,1730,False,100.0
214,AF-A0A061ACU2-10-F1,25,1730,False,100.0
215,AF-A0A061ACU2-10-F1,25,1730,False,100.0
216,AF-A0A061ACU2-10-F1,25,1730,False,100.0
217,AF-A0A061ACU2-10-F1,25,1730,False,100.0
218,AF-A0A8R1TRS9-F1-mo,26,1604,True,100.0
219,AF-A0A182EAX7-F1-mo,26,1113,False,94.7
220,AF-A0A8R1TRS9-F1-mo,26,1604,False,100.0
221,AF-A0A182EAX7-F1-mo,26,1113,False,94.7
222,AF-A0A8R1U0Y7-F1-mo,27,1577,True,100.0
223,AF-A0A8R1U0Y7-F1-mo,27,1577,False,100.0
224,AF-A0A8R1U0Y7-F1-mo,27,1577,False,100.0
225,AF-A0A8R1U0Y7-F1-mo,27,1577,False,100.0
226,6b3r-assembly1_A,28,1502,True,100.0
227,6b3r-assembly1_A,28,1502,False,100.0
228,7wlu-assembly1_A,29,1498,True,100.0
229,7wlu-assembly1_A,29,1498,False,100.0
230,7wlt-assembly1_A,30,1353,True,100.0
231,7wlt-assembly1_A,30,1353,False,100.0
232,6lqi-assembly1_C,31,1301,False,99.31
233,5z10-assembly1_A,31,1304,True,100.0
234,6lqi-assembly1_C,31,1301,False,99.31
235,5z10-assembly1_A,31,1304,False,100.0
236,AF-A0A6A4WMD7-F1-mo,32,1280,True,100.0
237,AF-A0A6A4WMD7-F1-mo,32,1280,False,100.0
238,AF-A0A820EPK9-F1-mo,33,527,False,98.29
239,AF-A0A817NR70-F1-mo,33,1279,True,100.0
240,AF-A0A819QTL3-F1-mo,33,406,False,100.0
241,AF-A0A820EPK9-F1-mo,33,527,False,98.29
242,AF-A0A819QTL3-F1-mo,33,406,False,100.0
